t_s,distance_m,pace_s,spm,hr,segment
2.0,4.7,198.9,0,,1
2.7,8.8,198.9,0,,1
3.5,11.9,123.5,33,,1
11.8,33.3,156.2,81,,1
13.5,40.0,156.2,81,,1
15.3,48.0,116.8,33,,1
17.2,56.2,113.8,32,,1
19.0,64.4,113.8,32,,1
20.9,72.5,114.6,32,,1
22.8,80.7,114.7,33,,1
24.6,88.8,114.7,33,,1
26.5,96.8,114.8,33,,1
28.4,105.2,114.8,33,,1
30.2,113.3,114.1,32,,1
32.1,121.6,114.5,32,,1
33.9,129.6,114.5,32,,1
35.8,137.8,114.5,32,,1
37.7,146.3,114.5,32,,1
39.6,154.5,114.8,32,,1
41.6,163.0,115.2,31,,1
43.5,171.2,115.8,32,,1
45.3,179.2,115.8,32,,1
47.2,187.4,115.9,32,,1
49.0,195.4,115.0,32,,1
50.9,203.7,114.3,32,,1
52.8,212.0,114.7,32,,1
54.7,220.1,114.7,32,,1
56.5,228.3,115.0,32,,1
58.5,236.6,115.0,32,,1
60.3,244.9,114.5,31,,1
62.3,253.3,114.5,31,,1
64.2,261.7,113.6,32,,1
66.1,270.2,113.8,31,,1
72.8,293.0,146.7,9,,1
74.5,300.0,124.6,34,,1
76.3,307.8,124.6,34,,1
78.2,316.1,115.1,32,,1
80.1,324.1,115.1,32,,1
81.9,332.1,115.1,32,,1
83.8,340.1,116.4,32,,1
85.6,348.0,116.9,33,,1
87.4,355.8,116.9,33,,1
89.3,363.8,117.2,32,,1
91.2,371.8,117.4,32,,1
93.0,379.8,117.4,32,,1
94.8,387.6,115.5,33,,1
96.7,395.8,115.2,32,,1
98.6,403.9,115.2,32,,1
100.4,411.9,115.3,33,,1
102.2,420.0,114.6,33,,1
104.0,427.9,114.2,33,,1
105.9,436.0,114.2,33,,1
107.8,444.1,115.2,32,,1
109.6,452.1,115.3,33,,1
111.5,460.2,115.3,33,,1
113.3,468.4,116.3,31,,1
115.2,476.4,116.3,31,,1
117.1,484.4,117.3,32,,1
118.9,492.3,117.3,32,,1
120.8,500.2,117.0,32,,1
122.6,508.0,117.2,33,,1
124.5,515.9,116.7,33,,1
126.3,523.8,116.7,33,,1
128.2,531.9,115.3,32,,1
130.0,539.9,116.0,33,,1
131.9,548.1,116.7,31,,1
133.7,556.0,117.2,32,,1
135.6,563.8,117.2,32,,1
137.4,571.6,116.5,33,,1
139.2,579.7,116.0,32,,1
141.1,588.0,116.0,32,,1
143.0,596.0,116.7,32,,1
145.0,604.3,116.7,32,,1
146.8,612.5,116.1,32,,1
148.7,620.5,116.1,32,,1
150.6,628.5,117.2,32,,1
152.5,636.5,117.2,32,,1
154.3,644.5,117.0,32,,1
156.2,652.5,116.8,32,,1
158.0,660.5,116.8,32,,1
159.9,668.5,117.4,32,,1
161.8,676.5,116.4,33,,1
163.7,684.6,116.5,32,,1
165.5,692.5,116.4,32,,1
167.4,700.5,116.4,32,,1
169.3,708.6,117.8,32,,1
171.1,716.5,117.8,32,,1
173.0,724.5,117.8,32,,1
174.9,732.7,118.2,32,,1
176.9,740.8,119.8,31,,1
178.8,748.8,119.8,31,,1
180.7,756.8,118.4,32,,1
182.5,764.8,118.4,32,,1
184.4,773.1,117.4,31,,1
186.3,781.0,117.4,31,,1
188.2,789.0,117.9,32,,1
190.1,796.9,117.9,32,,1
192.0,804.9,118.7,32,,1
193.8,812.7,117.7,33,,1
195.7,820.8,117.7,32,,1
197.5,828.7,117.9,32,,1
199.4,836.5,117.9,32,,1
201.2,844.3,118.6,32,,1
203.1,852.2,116.6,33,,1
204.9,860.1,116.8,33,,1
206.8,868.1,118.1,32,,1
208.7,876.1,118.0,32,,1
210.5,883.9,118.0,32,,1
212.4,892.0,116.6,32,,1
214.2,899.9,116.6,33,,1
216.1,907.9,116.6,33,,1
217.9,915.8,115.8,33,,1
219.8,923.8,117.0,32,,1
221.6,931.8,117.0,32,,1
223.5,939.6,118.2,33,,1
225.3,947.5,117.6,32,,1
227.2,955.5,117.6,32,,1
229.0,963.5,117.0,32,,1
230.9,971.7,117.0,32,,1
232.8,979.8,115.8,32,,1
234.7,987.8,116.2,32,,1
236.6,996.0,116.2,32,,1
526.4,998.8,0.0,0,,2
528.0,1005.3,128.9,36,,2
529.9,1012.9,121.0,33,,2
531.7,1020.8,121.0,33,,2
533.6,1028.9,117.3,32,,2
535.5,1037.0,117.3,32,,2
537.3,1044.9,116.4,32,,2
539.1,1052.9,114.9,33,,2
541.0,1061.2,114.9,33,,2
542.9,1069.1,115.1,32,,2
544.7,1077.2,114.5,33,,2
546.5,1085.2,114.3,33,,2
548.3,1093.0,114.0,34,,2
550.1,1101.0,114.7,33,,2
555.7,1120.3,114.7,33,,2
557.3,1126.9,128.5,36,,2
559.1,1134.2,119.9,34,,2
560.9,1142.0,116.3,34,,2
562.7,1149.7,115.2,34,,2
564.5,1157.8,114.6,33,,2
566.3,1165.5,114.6,33,,2
568.1,1173.4,115.4,33,,2
569.9,1181.2,115.8,33,,2
571.7,1189.0,117.3,33,,2
573.5,1196.7,117.4,33,,2
575.3,1204.4,117.2,33,,2
577.1,1212.1,115.9,34,,2
578.9,1220.0,115.9,34,,2
580.8,1228.0,116.0,32,,2
582.7,1236.2,117.0,32,,2
584.5,1244.1,117.0,32,,2
586.4,1252.1,116.8,32,,2
588.2,1260.0,117.2,33,,2
590.1,1267.9,117.2,33,,2
591.9,1275.7,117.6,33,,2
593.7,1283.6,117.6,33,,2
595.6,1291.4,117.6,33,,2
597.4,1299.3,117.4,33,,2
599.2,1307.1,116.9,33,,2
601.0,1314.8,116.0,33,,2
602.9,1322.9,116.0,33,,2
604.7,1330.6,116.4,32,,2
606.5,1338.5,115.5,33,,2
608.3,1346.4,115.8,33,,2
610.1,1354.3,115.9,32,,2
612.0,1362.4,115.9,32,,2
613.9,1370.4,116.7,32,,2
615.7,1378.4,116.7,32,,2
617.6,1386.4,118.0,32,,2
619.5,1394.5,118.0,32,,2
621.4,1402.4,118.9,32,,2
623.3,1410.4,118.9,32,,2
625.1,1418.1,119.2,31,,2
627.1,1426.4,117.9,31,,2
629.0,1434.5,118.4,31,,2
630.9,1442.5,118.4,31,,2
632.7,1450.4,118.9,32,,2
634.6,1458.4,118.5,32,,2
636.5,1466.2,118.5,32,,2
638.3,1474.1,118.6,32,,2
640.2,1481.9,118.3,33,,2
642.0,1489.8,118.3,33,,2
643.9,1497.8,117.2,32,,2
645.8,1505.8,117.2,32,,2
647.7,1513.9,117.8,32,,2
649.5,1521.8,117.8,32,,2
651.4,1529.7,117.9,32,,2
653.2,1537.6,119.1,32,,2
655.1,1545.4,119.1,32,,2
656.9,1553.0,118.9,33,,2
658.7,1560.9,117.0,33,,2
660.5,1568.7,116.0,33,,2
662.5,1576.9,116.0,33,,2
664.2,1584.5,117.4,31,,2
666.1,1592.3,117.5,33,,2
667.9,1600.2,118.2,32,,2
669.8,1608.0,118.2,32,,2
671.6,1616.0,118.1,32,,2
673.5,1624.0,118.1,32,,2
675.3,1631.8,117.7,32,,2
677.2,1639.8,117.5,32,,2
679.0,1647.7,117.5,32,,2
