t_s,timestamp,distance_m,speed_m_s,pace_s_per_km,hr,elev_m,cadence_spm,power_w,gap_speed_m_s,temp_c
0.0,2026-09-20T13:07:22+00:00,0.0,,,69.0,137.1999969482422,10.0,,,29.0
1.0,2026-09-20T13:07:23+00:00,0.0,,,69.0,137.1999969482422,10.0,,,29.0
3.0,2026-09-20T13:07:25+00:00,0.0,,,73.0,137.1999969482422,10.0,,,29.0
5.0,2026-09-20T13:07:27+00:00,0.0,,,76.0,137.1999969482422,,,,29.0
7.0,2026-09-20T13:07:29+00:00,0.0,,,81.0,137.1999969482422,,,,29.0
13.0,2026-09-20T13:07:35+00:00,0.0,,,81.0,137.0,,,,29.0
19.0,2026-09-20T13:07:41+00:00,0.0,,,83.0,137.8000030517578,,,,29.0
25.0,2026-09-20T13:07:47+00:00,0.0,,,81.0,137.1999969482422,,,,29.0
27.0,2026-09-20T13:07:49+00:00,0.0,,,76.0,137.0,,,,29.0
29.0,2026-09-20T13:07:51+00:00,0.0,,,73.0,137.0,,,,29.0
33.0,2026-09-20T13:07:55+00:00,0.0,,,78.0,137.0,,,,29.0
35.0,2026-09-20T13:07:57+00:00,0.0,,,83.0,137.0,,,,29.0
37.0,2026-09-20T13:07:59+00:00,0.0,,,86.0,137.1999969482422,,,,29.0
39.0,2026-09-20T13:08:01+00:00,0.0,,,91.0,137.1999969482422,,,,29.0
40.0,2026-09-20T13:08:02+00:00,0.0,,,91.0,137.1999969482422,,,,29.0
43.0,2026-09-20T13:08:05+00:00,2.2699999809265137,0.05299999937415123,,94.0,137.0,15.0,,,29.0
49.0,2026-09-20T13:08:11+00:00,2.2699999809265137,,,92.0,136.8000030517578,,,,29.0
50.0,2026-09-20T13:08:12+00:00,2.2699999809265137,,,89.0,136.8000030517578,,,,29.0
56.0,2026-09-20T13:08:18+00:00,2.2699999809265137,,,92.0,136.8000030517578,,,,29.0
62.0,2026-09-20T13:08:24+00:00,2.2699999809265137,,,94.0,137.1999969482422,,,,29.0
64.0,2026-09-20T13:08:26+00:00,2.2699999809265137,,,91.0,137.39999389648438,,,,29.0
70.0,2026-09-20T13:08:32+00:00,2.2699999809265137,,,93.0,137.1999969482422,,,,29.0
73.0,2026-09-20T13:08:35+00:00,6.639999866485596,0.1459999978542328,,96.0,137.1999969482422,0.0,,,29.0
76.0,2026-09-20T13:08:38+00:00,6.639999866485596,,,99.0,137.39999389648438,0.0,,,29.0
79.0,2026-09-20T13:08:41+00:00,6.639999866485596,,,103.0,137.39999389648438,,,,29.0
83.0,2026-09-20T13:08:45+00:00,6.639999866485596,,,106.0,137.39999389648438,,,,29.0
89.0,2026-09-20T13:08:51+00:00,6.639999866485596,,,107.0,137.39999389648438,,,,29.0
95.0,2026-09-20T13:08:57+00:00,6.639999866485596,,,105.0,137.0,,,,29.0
101.0,2026-09-20T13:09:03+00:00,6.639999866485596,,,105.0,137.1999969482422,,,,29.0
104.0,2026-09-20T13:09:06+00:00,7.28000020980835,0.020999999716877937,,101.0,137.39999389648438,13.0,,,29.0
107.0,2026-09-20T13:09:09+00:00,7.28000020980835,,,98.0,137.39999389648438,13.0,,,29.0
112.0,2026-09-20T13:09:14+00:00,7.28000020980835,,,95.0,137.1999969482422,,,,29.0
114.0,2026-09-20T13:09:16+00:00,7.28000020980835,,,91.0,137.0,,,,29.0
116.0,2026-09-20T13:09:18+00:00,7.28000020980835,,,88.0,137.0,,,,29.0
119.0,2026-09-20T13:09:21+00:00,8.079999923706055,0.05299999937415123,,91.0,137.0,13.0,,,29.0
120.0,2026-09-20T13:09:22+00:00,8.890000343322754,0.8100000023841858,1234.5678976006923,95.0,137.1999969482422,13.0,,,29.0
121.0,2026-09-20T13:09:23+00:00,9.84000015258789,0.949999988079071,1052.631592156154,99.0,137.39999389648438,13.0,,,29.0
122.0,2026-09-20T13:09:24+00:00,10.760000228881836,0.9200000166893005,1086.956502021148,99.0,137.39999389648438,36.0,,,29.0
124.0,2026-09-20T13:09:26+00:00,12.579999923706055,0.9100000262260437,1098.901067230959,95.0,137.60000610351562,35.0,,,29.0
126.0,2026-09-20T13:09:28+00:00,14.229999542236328,0.824999988079071,1212.1212296358922,92.0,137.60000610351562,31.0,,,29.0
132.0,2026-09-20T13:09:34+00:00,15.039999961853027,0.13500000536441803,,92.0,137.60000610351562,0.0,,,29.0
135.0,2026-09-20T13:09:37+00:00,15.039999961853027,,,95.0,137.39999389648438,,,,29.0
138.0,2026-09-20T13:09:40+00:00,15.039999961853027,,,98.0,137.39999389648438,,,,29.0
141.0,2026-09-20T13:09:43+00:00,15.039999961853027,,,102.0,137.60000610351562,,,,29.0
146.0,2026-09-20T13:09:48+00:00,16.81999969482422,0.12700000405311584,,105.0,137.60000610351562,12.0,,,29.0
151.0,2026-09-20T13:09:53+00:00,18.59000015258789,0.3540000021457672,2824.858739939296,108.0,137.60000610351562,12.0,,,29.0
157.0,2026-09-20T13:09:59+00:00,18.59000015258789,,,107.0,137.60000610351562,,,,29.0
163.0,2026-09-20T13:10:05+00:00,18.59000015258789,,,107.0,137.39999389648438,,,,29.0
169.0,2026-09-20T13:10:11+00:00,18.59000015258789,,,105.0,137.39999389648438,,,,29.0
175.0,2026-09-20T13:10:17+00:00,18.59000015258789,,,106.0,137.39999389648438,,,,29.0
181.0,2026-09-20T13:10:23+00:00,18.59000015258789,,,108.0,137.39999389648438,,,,29.0
187.0,2026-09-20T13:10:29+00:00,18.59000015258789,,,108.0,137.60000610351562,,,,29.0
193.0,2026-09-20T13:10:35+00:00,18.59000015258789,,,106.0,137.60000610351562,,,,29.0
199.0,2026-09-20T13:10:41+00:00,18.59000015258789,,,105.0,137.8000030517578,,,,29.0
205.0,2026-09-20T13:10:47+00:00,18.59000015258789,,,106.0,137.60000610351562,,,,29.0
208.0,2026-09-20T13:10:50+00:00,18.59000015258789,,,110.0,137.60000610351562,,,,29.0
214.0,2026-09-20T13:10:56+00:00,18.59000015258789,,,109.0,137.8000030517578,,,,29.0
220.0,2026-09-20T13:11:02+00:00,18.59000015258789,,,111.0,137.60000610351562,,,,29.0
226.0,2026-09-20T13:11:08+00:00,18.59000015258789,,,114.0,138.0,,,,29.0
232.0,2026-09-20T13:11:14+00:00,18.59000015258789,,,112.0,137.8000030517578,,,,29.0
238.0,2026-09-20T13:11:20+00:00,18.59000015258789,,,111.0,137.60000610351562,,,,29.0
244.0,2026-09-20T13:11:26+00:00,18.59000015258789,,,109.0,137.8000030517578,,,,29.0
250.0,2026-09-20T13:11:32+00:00,18.59000015258789,,,112.0,137.60000610351562,,,,29.0
