t_s,distance_m,pace_s,spm,hr,segment
2.4,6.6,0.0,39,,1
3.5,13.3,210.8,48,,1
4.7,20.0,210.8,48,,1
5.8,26.7,210.8,48,,1
6.9,33.4,173.2,55,,1
7.9,40.1,173.2,55,,1
9.0,46.9,160.7,56,,1
10.0,53.6,160.7,56,,1
11.0,60.3,153.5,60,,1
11.9,66.8,153.5,60,,1
12.9,73.5,146.8,61,,1
13.9,80.2,146.8,61,,1
14.9,86.9,147.2,61,,1
15.9,93.7,147.2,61,,1
16.9,100.3,147.8,60,,1
17.9,107.0,147.8,60,,1
18.9,113.7,149.1,60,,1
19.9,120.4,149.1,60,,1
20.9,127.0,149.7,61,,1
21.8,133.9,149.7,61,,1
22.8,140.6,147.1,62,,1
23.7,147.1,147.1,62,,1
24.7,153.8,143.2,64,,1
25.6,160.5,143.2,64,,1
26.6,167.2,142.2,63,,1
27.6,173.9,142.2,63,,1
28.5,180.6,144.6,62,,1
29.5,187.2,144.6,62,,1
30.4,193.9,145.4,62,,1
31.4,200.6,145.4,62,,1
32.3,207.5,141.3,63,,1
33.3,214.3,141.3,63,,1
34.2,220.7,141.1,64,,1
35.1,227.5,141.1,64,,1
36.0,234.1,138.2,66,,1
36.9,240.8,136.7,65,,1
37.9,247.6,136.7,65,,1
38.8,254.1,138.6,64,,1
39.7,260.8,138.6,64,,1
40.7,267.7,138.6,64,,1
41.6,274.4,139.8,65,,1
42.5,280.9,139.8,65,,1
43.5,287.6,140.5,64,,1
44.4,294.4,140.5,64,,1
45.3,301.0,141.6,64,,1
46.2,307.8,141.6,64,,1
47.1,314.5,135.6,67,,1
48.0,321.0,135.6,67,,1
48.9,327.7,135.1,66,,1
49.8,334.4,135.1,66,,1
50.8,341.1,137.2,65,,1
51.7,347.9,137.2,65,,1
52.6,354.6,137.9,65,,1
53.5,361.3,137.9,65,,1
54.5,367.9,137.7,65,,1
55.4,374.7,137.7,65,,1
56.3,381.2,139.1,65,,1
57.1,387.9,131.4,71,,1
58.0,394.8,131.4,71,,1
58.8,401.4,131.4,71,,1
59.6,408.1,124.6,73,,1
60.4,414.7,124.6,73,,1
61.3,421.5,124.0,73,,1
62.1,428.1,124.0,73,,1
63.0,434.9,124.6,72,,1
63.8,441.6,124.6,72,,1
64.7,448.3,127.2,70,,1
65.5,454.8,127.2,70,,1
66.4,461.7,130.4,69,,1
67.3,468.2,130.4,69,,1
68.2,474.9,132.0,68,,1
69.0,481.6,132.0,68,,1
69.9,488.3,130.9,69,,1
70.8,495.0,130.9,69,,1
71.7,501.8,129.9,69,,1
72.5,508.3,129.9,69,,1
73.4,515.0,129.3,69,,1
74.2,521.9,128.7,70,,1
75.1,528.6,128.7,70,,1
75.9,535.1,128.7,70,,1
76.8,541.8,127.9,70,,1
77.6,548.5,127.9,70,,1
78.5,555.2,128.1,70,,1
79.3,561.9,128.1,70,,1
80.2,568.7,127.5,70,,1
81.0,575.2,127.5,70,,1
81.9,581.9,128.7,70,,1
82.8,588.8,128.7,70,,1
83.6,595.3,128.9,71,,1
84.5,602.0,128.9,71,,1
85.3,608.8,127.4,71,,1
86.1,615.4,127.4,71,,1
87.0,622.1,125.8,72,,1
87.8,628.8,125.8,72,,1
88.6,635.5,124.5,73,,1
89.5,642.3,124.5,73,,1
90.3,648.8,124.9,72,,1
91.2,655.7,124.9,72,,1
92.0,662.2,126.9,69,,1
92.9,669.0,126.9,69,,1
93.8,675.9,130.8,68,,1
94.7,682.3,130.8,68,,1
95.5,689.1,131.4,68,,1
96.4,695.7,131.4,68,,1
97.2,702.4,129.7,70,,1
98.1,709.2,129.7,70,,1
99.0,715.9,128.5,69,,1
99.9,722.6,128.5,69,,1
100.7,729.1,131.1,68,,1
101.6,735.9,131.1,68,,1
102.5,742.6,132.4,68,,1
103.4,749.3,132.4,68,,1
104.3,755.9,133.2,68,,1
105.2,762.6,133.2,68,,1
106.0,769.3,132.8,68,,1
106.9,776.1,132.8,68,,1
107.8,782.6,130.9,70,,1
108.6,789.5,130.9,70,,1
109.5,796.2,128.3,70,,1
110.3,802.7,128.3,70,,1
111.2,809.5,128.4,69,,1
112.1,816.1,128.4,69,,1
112.9,822.8,129.8,69,,1
113.8,829.5,129.8,69,,1
114.7,836.2,130.5,68,,1
115.5,843.0,130.5,68,,1
116.4,849.5,129.2,70,,1
117.2,856.4,129.2,70,,1
118.1,863.2,126.0,71,,1
118.9,869.6,126.0,71,,1
119.8,876.4,127.8,69,,1
120.6,883.0,127.8,69,,1
121.5,889.7,129.3,70,,1
122.4,896.5,128.5,70,,1
123.2,903.2,128.5,70,,1
124.1,909.7,128.5,70,,1
124.9,916.4,129.1,70,,1
125.8,923.1,129.1,70,,1
126.7,929.8,129.3,70,,1
127.5,936.6,129.3,70,,1
128.4,943.2,130.0,70,,1
129.3,950.0,130.0,70,,1
130.1,956.6,130.2,69,,1
131.0,963.3,130.2,69,,1
131.9,970.0,131.2,68,,1
132.8,976.7,131.2,68,,1
133.7,983.3,132.6,67,,1
134.6,990.2,132.6,67,,1
135.5,996.9,132.4,67,,1
136.3,1003.6,132.4,67,,1
137.2,1010.3,133.5,67,,1
138.0,1016.8,133.5,67,,1
138.9,1023.6,128.8,71,,1
139.7,1030.3,128.8,71,,1
140.5,1036.9,125.9,72,,1
141.4,1043.7,123.4,74,,1
142.2,1050.3,123.4,74,,1
143.0,1056.9,123.4,74,,1
143.8,1063.6,122.9,73,,1
144.7,1070.3,122.9,73,,1
145.5,1077.0,124.4,72,,1
146.3,1083.7,124.6,73,,1
147.2,1090.7,124.6,73,,1
148.0,1097.2,124.6,73,,1
148.8,1103.9,124.4,72,,1
149.7,1110.6,124.4,72,,1
150.5,1117.3,124.6,73,,1
151.3,1124.0,124.6,73,,1
152.2,1130.6,125.5,71,,1
153.0,1137.4,125.5,71,,1
153.9,1143.9,128.1,70,,1
154.8,1150.8,128.1,70,,1
155.6,1157.3,128.1,71,,1
156.4,1164.1,128.1,71,,1
157.2,1170.8,124.2,74,,1
158.0,1177.4,124.2,74,,1
158.9,1184.1,123.6,71,,1
159.8,1190.9,123.6,71,,1
160.6,1197.5,128.5,68,,1
161.5,1204.3,128.5,68,,1
162.4,1211.0,130.5,69,,1
163.2,1217.5,130.5,69,,1
164.1,1224.2,130.7,68,,1
165.0,1231.1,130.7,68,,1
165.9,1237.6,133.3,69,,1
166.8,1244.3,133.3,69,,1
167.7,1251.0,131.9,68,,1
168.6,1258.0,131.9,68,,1
169.4,1264.4,132.9,68,,1
170.3,1271.1,132.9,68,,1
171.2,1277.9,133.1,68,,1
172.1,1284.5,132.1,69,,1
173.0,1291.3,132.1,69,,1
173.8,1297.8,132.1,69,,1
174.7,1304.5,130.1,69,,1
175.6,1311.4,130.1,69,,1
176.4,1317.9,130.2,69,,1
177.3,1324.6,130.2,69,,1
178.2,1331.4,129.6,69,,1
179.0,1338.0,129.6,69,,1
179.9,1344.8,128.8,70,,1
180.7,1351.4,128.8,70,,1
181.6,1358.1,128.0,70,,1
182.4,1364.7,128.0,70,,1
183.3,1371.4,129.1,69,,1
184.2,1378.1,129.1,69,,1
185.0,1384.8,130.2,69,,1
185.9,1391.5,130.2,69,,1
186.7,1398.2,129.2,71,,1
187.6,1405.0,129.2,71,,1
188.4,1411.6,124.2,74,,1
189.2,1418.4,124.2,74,,1
190.0,1425.1,122.9,73,,1
190.8,1431.7,122.9,73,,1
191.7,1438.5,122.8,73,,1
192.5,1445.2,123.6,73,,1
193.3,1451.9,123.6,73,,1
194.1,1458.4,123.6,73,,1
195.0,1465.3,124.2,72,,1
195.8,1471.8,124.2,72,,1
196.6,1478.5,124.7,72,,1
197.4,1485.2,124.7,72,,1
198.3,1492.0,123.9,72,,1
199.1,1498.7,123.9,72,,1
200.0,1505.4,125.0,71,,1
200.8,1512.0,125.0,71,,1
201.6,1518.6,125.7,71,,1
202.5,1525.5,125.7,71,,1
203.3,1532.2,125.8,71,,1
204.1,1538.7,125.8,71,,1
204.9,1545.6,124.2,74,,1
205.7,1552.1,124.2,74,,1
206.5,1558.9,119.4,75,,1
207.4,1565.5,119.4,75,,1
208.2,1572.3,123.3,72,,1
209.1,1579.2,123.3,72,,1
209.9,1585.6,127.0,71,,1
210.8,1592.3,128.3,70,,1
211.6,1598.9,128.3,70,,1
212.5,1605.6,128.3,70,,1
213.3,1612.3,129.0,70,,1
214.2,1619.2,128.8,70,,1
215.1,1625.9,128.8,70,,1
215.9,1632.4,128.8,70,,1
216.7,1639.1,128.0,70,,1
217.6,1645.8,128.0,70,,1
218.4,1652.6,126.4,72,,1
219.2,1659.2,126.4,72,,1
220.1,1666.0,122.9,73,,1
220.9,1672.6,122.9,73,,1
221.7,1679.2,122.0,73,,1
222.5,1685.9,122.0,73,,1
223.3,1692.8,122.3,73,,1
224.1,1699.5,122.3,73,,1
225.0,1706.2,122.5,73,,1
225.8,1712.8,122.5,73,,1
226.6,1719.4,122.8,73,,1
227.4,1726.2,122.8,73,,1
228.2,1732.9,122.9,74,,1
229.0,1739.5,122.9,74,,1
229.9,1746.3,122.8,73,,1
230.7,1753.0,122.8,73,,1
231.5,1759.5,122.0,75,,1
232.3,1766.2,122.0,75,,1
233.1,1773.1,121.5,74,,1
233.9,1779.8,121.5,74,,1
234.8,1786.4,122.9,73,,1
235.6,1793.0,122.9,73,,1
236.4,1799.7,124.7,72,,1
237.3,1806.4,124.7,72,,1
238.1,1813.1,125.9,71,,1
239.0,1819.9,125.9,71,,1
239.8,1826.5,128.0,69,,1
240.7,1833.1,128.0,69,,1
241.6,1840.0,129.2,69,,1
242.4,1846.5,129.2,69,,1
243.3,1853.4,128.8,70,,1
244.1,1860.0,128.8,70,,1
245.0,1866.7,128.0,70,,1
245.8,1873.4,128.0,70,,1
246.7,1880.0,128.3,70,,1
247.5,1886.7,128.3,70,,1
248.4,1893.5,128.7,70,,1
249.3,1900.2,128.7,70,,1
250.1,1906.9,128.5,71,,1
250.9,1913.4,124.0,74,,1
251.7,1920.1,124.0,74,,1
252.5,1926.8,124.0,74,,1
253.4,1933.5,123.2,72,,1
254.3,1940.5,123.2,72,,1
255.1,1946.9,126.5,71,,1
256.0,1953.7,126.5,71,,1
256.8,1960.4,127.5,71,,1
257.6,1967.1,127.5,71,,1
258.4,1973.7,124.3,72,,1
259.3,1980.6,124.3,72,,1
260.1,1987.0,124.5,71,,1
261.0,1993.9,124.5,71,,1
261.8,2000.4,126.1,71,,1
262.6,2007.1,126.1,71,,1
263.5,2013.8,126.2,71,,1
264.3,2020.6,125.4,71,,1
265.1,2027.2,125.4,71,,1
266.0,2033.9,125.4,71,,1
266.8,2040.7,125.8,71,,1
267.7,2047.5,125.8,71,,1
268.5,2054.2,125.0,72,,1
269.3,2060.8,125.0,72,,1
270.2,2067.5,125.3,71,,1
271.0,2074.2,125.3,71,,1
271.8,2080.7,126.0,71,,1
272.7,2087.5,126.0,71,,1
273.5,2094.1,125.9,72,,1
274.3,2100.8,125.9,72,,1
275.2,2107.5,126.2,71,,1
276.1,2114.3,126.2,71,,1
276.9,2120.9,127.0,71,,1
277.7,2127.6,127.0,71,,1
278.6,2134.2,126.6,72,,1
279.4,2141.1,126.6,72,,1
280.2,2147.6,123.7,73,,1
281.0,2154.5,123.7,73,,1
281.9,2161.2,123.9,71,,1
