t_s,distance_m,pace_s,spm,hr,segment
2.7,6.0,0.0,39,,1
3.5,12.0,231.8,48,,1
4.6,18.1,231.8,48,,1
5.8,24.1,231.8,48,,1
6.8,30.2,190.8,55,,1
7.9,36.2,190.8,55,,1
8.9,42.2,177.2,57,,1
10.0,48.3,171.6,59,,1
11.0,54.5,171.6,59,,1
12.0,60.4,165.9,62,,1
12.9,66.4,165.9,62,,1
13.8,72.5,165.9,62,,1
14.7,78.6,154.5,67,,1
15.6,84.7,154.5,67,,1
16.5,90.8,145.7,70,,1
17.3,96.6,145.7,70,,1
18.2,102.7,143.1,70,,1
19.0,108.7,143.1,70,,1
19.9,114.9,142.0,70,,1
20.7,120.8,142.1,69,,1
21.6,127.0,142.1,69,,1
22.5,133.1,142.3,70,,1
23.3,139.0,142.3,70,,1
24.2,145.0,142.3,70,,1
25.1,151.1,143.6,68,,1
26.0,157.3,147.0,67,,1
26.8,163.1,147.0,67,,1
27.7,169.1,147.0,67,,1
28.6,175.3,145.0,69,,1
29.4,181.2,145.0,69,,1
30.3,187.3,144.3,69,,1
31.2,193.3,144.3,69,,1
32.1,199.3,145.7,68,,1
33.0,205.5,147.0,68,,1
33.9,211.6,147.0,68,,1
34.7,217.5,147.0,68,,1
35.6,223.5,144.9,69,,1
36.4,229.6,144.9,69,,1
37.3,235.6,144.0,69,,1
38.2,241.6,144.0,69,,1
39.1,247.8,146.1,68,,1
40.0,253.9,146.7,68,,1
40.9,259.9,146.7,68,,1
41.7,265.9,144.9,68,,1
42.6,271.9,144.9,68,,1
43.5,277.9,144.9,68,,1
44.4,283.9,149.1,66,,1
45.3,290.1,149.1,66,,1
46.2,296.2,150.8,66,,1
47.1,302.1,150.8,66,,1
47.9,308.1,145.3,70,,1
48.8,314.2,145.3,70,,1
49.6,320.2,140.0,72,,1
50.4,326.2,140.0,72,,1
51.3,332.4,138.9,72,,1
52.1,338.5,138.9,72,,1
53.0,344.5,139.7,71,,1
53.8,350.4,139.7,71,,1
54.7,356.5,140.7,71,,1
55.5,362.5,140.7,71,,1
56.4,368.7,142.4,70,,1
57.3,374.6,142.4,70,,1
58.1,380.6,143.5,69,,1
59.0,386.8,143.5,69,,1
59.9,392.7,143.8,69,,1
60.7,398.9,143.0,71,,1
61.6,404.9,143.0,71,,1
62.4,411.0,143.0,71,,1
63.3,417.0,140.0,71,,1
64.1,422.9,140.0,71,,1
64.9,429.0,140.6,71,,1
65.8,435.1,140.6,71,,1
66.7,441.1,141.5,70,,1
67.5,447.1,141.5,70,,1
68.4,453.1,142.5,70,,1
69.3,459.3,142.5,70,,1
70.1,465.2,143.1,70,,1
70.9,471.3,143.1,70,,1
71.8,477.3,141.6,71,,1
72.6,483.4,141.6,71,,1
73.5,489.4,139.6,72,,1
74.3,495.4,139.6,72,,1
75.2,501.5,140.0,71,,1
76.0,507.5,140.0,71,,1
76.9,513.6,140.5,71,,1
77.7,519.6,140.5,71,,1
78.5,525.7,140.0,71,,1
79.4,531.8,140.0,71,,1
80.2,537.9,139.3,72,,1
81.1,544.0,139.3,72,,1
81.9,550.0,138.6,72,,1
82.7,555.9,138.6,72,,1
83.5,561.9,136.6,73,,1
84.4,568.1,136.6,73,,1
85.2,574.1,137.2,72,,1
86.0,580.0,137.2,72,,1
86.9,586.1,138.7,71,,1
87.7,592.1,138.7,71,,1
88.6,598.3,140.1,71,,1
89.4,604.3,140.1,71,,1
90.3,610.4,140.6,71,,1
91.1,616.3,140.6,71,,1
91.9,622.3,139.1,72,,1
92.8,628.5,139.1,72,,1
93.6,634.6,139.0,71,,1
94.4,640.5,139.0,71,,1
95.3,646.5,139.0,72,,1
96.1,652.6,139.0,72,,1
96.9,658.6,139.5,71,,1
97.8,664.8,139.5,71,,1
98.7,670.7,141.3,69,,1
99.5,676.7,141.3,69,,1
100.4,682.8,143.2,69,,1
101.3,688.9,143.2,69,,1
102.1,694.9,141.6,70,,1
102.9,700.9,141.6,70,,1
103.8,707.1,142.4,70,,1
104.7,713.1,142.4,70,,1
105.6,719.2,142.9,69,,1
106.4,725.1,142.9,69,,1
107.3,731.1,144.7,69,,1
108.2,737.2,144.7,69,,1
109.1,743.3,145.2,68,,1
109.9,749.3,145.2,68,,1
110.8,755.3,146.1,68,,1
111.6,761.3,146.1,68,,1
112.5,767.5,141.3,72,,1
113.3,773.6,141.3,72,,1
114.1,779.5,136.1,74,,1
114.9,785.5,136.1,74,,1
115.7,791.6,133.8,74,,1
116.5,797.6,133.8,74,,1
117.4,803.6,137.4,71,,1
118.2,809.8,137.4,71,,1
119.1,815.7,141.1,70,,1
120.0,821.9,143.6,69,,1
120.8,827.9,143.6,69,,1
121.7,833.9,143.6,69,,1
122.6,839.9,144.0,70,,1
123.4,846.1,144.0,70,,1
124.3,852.0,142.9,70,,1
125.2,858.2,142.9,70,,1
126.0,864.1,143.0,70,,1
126.9,870.1,143.0,70,,1
127.7,876.2,142.1,70,,1
128.6,882.2,142.1,70,,1
