t_s,timestamp,distance_m,speed_m_s,pace_s_per_km,hr,elev_m,cadence_spm,power_w,gap_speed_m_s,temp_c
0.0,2026-09-21T18:29:47+00:00,0.0,,,68.0,128.60000610351562,,,,30.0
1.0,2026-09-21T18:29:48+00:00,0.0,,,72.0,128.60000610351562,,,,30.0
2.0,2026-09-21T18:29:49+00:00,0.0,,,77.0,128.60000610351562,,,,30.0
5.0,2026-09-21T18:29:52+00:00,5.789999961853027,1.1579999923706055,863.5578640659962,80.0,128.60000610351562,30.0,,,30.0
11.0,2026-09-21T18:29:58+00:00,14.0600004196167,1.378000020980835,725.6893938856535,80.0,129.1999969482422,70.0,,,30.0
17.0,2026-09-21T18:30:04+00:00,25.540000915527344,1.9129999876022339,522.7391565503386,79.0,129.39999389648438,75.0,,,30.0
23.0,2026-09-21T18:30:10+00:00,37.150001525878906,1.934999942779541,516.7958809153993,80.0,129.1999969482422,74.0,,,30.0
29.0,2026-09-21T18:30:16+00:00,48.689998626708984,1.9229999780654907,520.0208067635991,82.0,129.1999969482422,74.0,,,30.0
34.0,2026-09-21T18:30:21+00:00,58.369998931884766,1.9359999895095825,516.5289284187005,85.0,129.1999969482422,75.0,,,30.0
37.0,2026-09-21T18:30:24+00:00,64.22000122070312,1.9500000476837158,512.8205002804169,88.0,129.39999389648438,75.0,,,30.0
40.0,2026-09-21T18:30:27+00:00,70.11000061035156,1.9630000591278076,509.42433513950886,91.0,129.39999389648438,76.0,,,30.0
45.0,2026-09-21T18:30:32+00:00,80.80000305175781,2.138000011444092,467.72684501744203,96.0,129.39999389648438,76.0,,,30.0
50.0,2026-09-21T18:30:37+00:00,91.80000305175781,2.200000047683716,454.54544469344734,99.0,129.1999969482422,77.0,,,30.0
54.0,2026-09-21T18:30:41+00:00,100.37000274658203,2.1419999599456787,466.8534167598024,96.0,129.1999969482422,77.0,,,30.0
56.0,2026-09-21T18:30:43+00:00,104.38999938964844,2.009999990463257,497.51244017146684,93.0,129.39999389648438,76.0,,,30.0
59.0,2026-09-21T18:30:46+00:00,110.33000183105469,1.9800000190734863,505.05050018531625,97.0,129.39999389648438,76.0,,,30.0
65.0,2026-09-21T18:30:52+00:00,122.9800033569336,2.1080000400543213,474.38329269397497,100.0,129.39999389648438,76.0,,,30.0
66.0,2026-09-21T18:30:53+00:00,125.16999816894531,2.190000057220459,456.62099263558775,104.0,129.39999389648438,76.0,,,30.0
72.0,2026-09-21T18:30:59+00:00,138.75999450683594,2.265000104904175,441.5010833045003,106.0,129.39999389648438,76.0,,,30.0
78.0,2026-09-21T18:31:05+00:00,152.85000610351562,2.3480000495910645,425.8943691990822,108.0,129.60000610351562,77.0,,,30.0
83.0,2026-09-21T18:31:10+00:00,164.77999877929688,2.385999917984009,419.1114980611253,112.0,129.39999389648438,76.0,,,30.0
89.0,2026-09-21T18:31:16+00:00,179.9600067138672,2.5299999713897705,395.2569214657673,115.0,129.60000610351562,77.0,,,30.0
90.0,2026-09-21T18:31:17+00:00,182.58999633789062,2.630000114440918,380.22812033701325,119.0,129.60000610351562,77.0,,,30.0
91.0,2026-09-21T18:31:18+00:00,185.22999572753906,2.640000104904175,378.7878637362014,119.0,129.60000610351562,78.0,,,30.0
95.0,2026-09-21T18:31:22+00:00,196.05999755859375,2.7079999446868896,369.27622615428976,122.0,129.60000610351562,79.0,,,30.0
98.0,2026-09-21T18:31:25+00:00,204.5,2.812999963760376,355.4923614941022,125.0,129.8000030517578,80.0,,,30.0
102.0,2026-09-21T18:31:29+00:00,215.4499969482422,2.736999988555908,365.3635382467131,128.0,129.60000610351562,79.0,,,30.0
108.0,2026-09-21T18:31:35+00:00,230.36000061035156,2.484999895095825,402.41450390944124,130.0,129.39999389648438,77.0,,,30.0
114.0,2026-09-21T18:31:41+00:00,244.2100067138672,2.308000087738037,433.27554678737175,128.0,129.60000610351562,77.0,,,30.0
120.0,2026-09-21T18:31:47+00:00,258.1199951171875,2.318000078201294,431.40637026033806,125.0,129.60000610351562,78.0,,,30.0
126.0,2026-09-21T18:31:53+00:00,272.4599914550781,2.390000104904175,418.4100234757497,123.0,129.60000610351562,77.0,,,30.0
132.0,2026-09-21T18:31:59+00:00,287.010009765625,2.424999952316284,412.3711421292323,124.0,129.60000610351562,78.0,,,30.0
138.0,2026-09-21T18:32:05+00:00,301.8900146484375,2.4800000190734863,403.2258033504347,124.0,130.0,78.0,,,30.0
144.0,2026-09-21T18:32:11+00:00,316.1300048828125,2.372999906539917,421.40751765056115,123.0,129.8000030517578,77.0,,,30.0
150.0,2026-09-21T18:32:17+00:00,330.989990234375,2.4769999980926514,403.7141706782494,122.0,129.8000030517578,77.0,,,30.0
156.0,2026-09-21T18:32:23+00:00,346.0899963378906,2.5169999599456787,397.2983773990929,122.0,129.60000610351562,77.0,,,30.0
162.0,2026-09-21T18:32:29+00:00,360.5400085449219,2.4079999923706055,415.2823933423394,120.0,129.39999389648438,77.0,,,30.0
168.0,2026-09-21T18:32:35+00:00,375.04998779296875,2.4179999828338623,413.5649326299887,119.0,129.39999389648438,78.0,,,30.0
174.0,2026-09-21T18:32:41+00:00,389.70001220703125,2.441999912261963,409.5004242132528,119.0,129.39999389648438,78.0,,,29.0
180.0,2026-09-21T18:32:47+00:00,404.1000061035156,2.4000000953674316,416.66665010982155,119.0,129.60000610351562,77.0,,,29.0
186.0,2026-09-21T18:32:53+00:00,418.67999267578125,2.430000066757202,411.52262243946547,120.0,129.39999389648438,76.0,,,29.0
192.0,2026-09-21T18:32:59+00:00,433.1600036621094,2.4130001068115234,414.42186313094464,121.0,129.60000610351562,77.0,,,29.0
198.0,2026-09-21T18:33:05+00:00,446.8500061035156,2.2820000648498535,438.2120822007058,120.0,129.0,77.0,,,29.0
204.0,2026-09-21T18:33:11+00:00,460.95001220703125,2.3499999046325684,425.5319321625053,121.0,129.1999969482422,78.0,,,29.0
210.0,2026-09-21T18:33:17+00:00,475.2200012207031,2.378000020980835,420.5214428835614,121.0,129.1999969482422,78.0,,,29.0
216.0,2026-09-21T18:33:23+00:00,489.1700134277344,2.325000047683716,430.10751806059153,122.0,129.0,78.0,,,29.0
222.0,2026-09-21T18:33:29+00:00,503.55999755859375,2.3980000019073486,417.0141781503789,123.0,129.39999389648438,78.0,,,29.0
228.0,2026-09-21T18:33:35+00:00,518.0399780273438,2.4130001068115234,414.42186313094464,124.0,129.39999389648438,78.0,,,29.0
234.0,2026-09-21T18:33:41+00:00,532.8699951171875,2.4719998836517334,404.53076337639686,123.0,129.39999389648438,78.0,,,29.0
240.0,2026-09-21T18:33:47+00:00,547.7100219726562,2.4730000495910645,404.36715727739676,121.0,129.1999969482422,78.0,,,29.0
246.0,2026-09-21T18:33:53+00:00,562.3499755859375,2.440000057220459,409.83605596270195,122.0,129.39999389648438,78.0,,,29.0
