nr,type,start_s,end_s,distance_m,duration_s,pace_s_per_km,pace_str,avg_hr,max_hr,hr_start,hr_end,hr_rise,avg_cadence_spm,elev_gain_m,elev_loss_m,avg_power_w,intensity,recovery_to_threshold_s
1,aufwaermen,0.0,480.0,905.07,480.0,530.3457191156485,8:50,114.0,141.0,69,96,27,131.703125,0.0,1.0,,warmup,
2,normal,480.0,600.0,116.85,120.0,1026.9576379974326,17:07,97.0,111.0,99,109,10,94.5625,0.0,1.0,,active,
3,erholung,600.0,660.0,147.06,60.0,407.9967360261118,6:48,123.0,133.0,115,110,-5,135.0625,0.0,0.0,,recovery,
4,belastung,660.0,856.5,800.0,196.515,245.64374999999998,4:06,150.0,162.0,115,162,47,171.0625,1.0,2.0,,active,30
5,erholung,857.0,1001.9,400.0,144.874,362.18499999999995,6:02,141.0,161.0,160,144,-16,159.9375,0.0,1.0,,recovery,
6,belastung,1002.0,1199.8,800.0,197.839,247.29874999999998,4:07,160.0,166.0,147,166,19,172.109375,2.0,2.0,,active,70
7,erholung,1200.0,1355.8,400.0,155.838,389.59499999999997,6:30,143.0,166.0,166,134,-32,160.21875,0.0,3.0,,recovery,
8,belastung,1355.0,1557.2,800.0,202.159,252.69875,4:13,159.0,166.0,134,166,32,170.734375,1.0,1.0,,active,32
9,erholung,1558.0,1721.6,400.0,163.604,409.01,6:49,138.0,166.0,166,137,-29,158.75,0.0,1.0,,recovery,
10,belastung,1721.0,1929.0,800.0,208.013,260.01625,4:20,161.0,167.0,139,166,27,170.515625,0.0,0.0,,active,43
11,erholung,1929.0,2100.4,400.0,171.387,428.4675,7:08,137.0,167.0,166,134,-32,157.5,0.0,0.0,,recovery,
12,belastung,2101.0,2301.3,800.0,200.302,250.37749999999997,4:10,161.0,168.0,136,168,32,171.515625,1.0,0.0,,active,69
13,erholung,2301.0,2457.0,400.0,156.048,390.12,6:30,144.0,168.0,167,137,-30,160.09375,0.0,0.0,,recovery,
14,belastung,2457.0,2663.2,800.0,206.232,257.78999999999996,4:18,161.0,168.0,139,168,29,171.609375,0.0,0.0,,active,52
15,erholung,2663.0,2834.1,400.0,171.099,427.74749999999995,7:08,139.0,168.0,167,136,-31,159.109375,0.0,0.0,,recovery,
16,auslaufen,2834.0,3426.0,1000.0,592.04,592.04,9:52,114.0,136.0,134,120,-14,149.25,4.0,2.0,,cooldown,
17,auslaufen,3426.0,3434.0,20.94,7.96,380.1337153772684,6:20,121.0,121.0,121,121,0,158.875,0.0,0.0,,cooldown,
18,normal,3434.0,3451.2,26.23,17.217,656.3858177659168,10:56,116.0,121.0,120,111,-9,109.890625,1.0,0.0,,active,
