t_s,timestamp,distance_m,speed_m_s,pace_s_per_km,hr,elev_m,cadence_spm,power_w,gap_speed_m_s,temp_c
0.0,2026-09-22T08:16:25+00:00,0.800000011920929,1.2599999904632568,793.6507996578126,68.0,109.4000015258789,48.0,,,29.0
1.0,2026-09-22T08:16:26+00:00,1.7300000190734863,1.0080000162124634,992.0634761073485,69.0,109.4000015258789,49.0,,,29.0
4.0,2026-09-22T08:16:29+00:00,6.059999942779541,1.3250000476837158,754.7169539715405,71.0,109.19999694824219,64.0,,,29.0
5.0,2026-09-22T08:16:30+00:00,7.769999980926514,1.6139999628067017,619.5787007708645,74.0,109.19999694824219,76.0,,,29.0
8.0,2026-09-22T08:16:33+00:00,12.770000457763672,1.753999948501587,570.12544433327,76.0,109.0,76.0,,,29.0
11.0,2026-09-22T08:16:36+00:00,19.850000381469727,1.9500000476837158,512.8205002804169,79.0,109.19999694824219,76.0,,,29.0
13.0,2026-09-22T08:16:38+00:00,24.520000457763672,2.0429999828338623,489.47626451415414,79.0,109.19999694824219,77.0,,,29.0
16.0,2026-09-22T08:16:41+00:00,31.829999923706055,2.2019999027252197,454.13262678276635,87.0,109.19999694824219,77.0,,,29.0
17.0,2026-09-22T08:16:42+00:00,34.33000183105469,2.2209999561309814,450.2476450931663,90.0,109.19999694824219,77.0,,,29.0
18.0,2026-09-22T08:16:43+00:00,36.900001525878906,2.2769999504089355,439.1743617826632,90.0,109.19999694824219,77.0,,,29.0
20.0,2026-09-22T08:16:45+00:00,41.54999923706055,2.3610000610351562,423.5493325491742,91.0,109.19999694824219,77.0,,,29.0
23.0,2026-09-22T08:16:48+00:00,48.900001525878906,2.4170000553131104,413.736026940411,100.0,109.5999984741211,77.0,,,29.0
25.0,2026-09-22T08:16:50+00:00,53.47999954223633,2.4260001182556152,412.20113407044573,103.0,109.5999984741211,77.0,,,29.0
29.0,2026-09-22T08:16:54+00:00,63.66999816894531,2.4539999961853027,407.49796314363545,105.0,109.5999984741211,77.0,,,29.0
35.0,2026-09-22T08:17:00+00:00,79.93000030517578,2.490999937057495,401.4452128735316,105.0,109.19999694824219,78.0,,,29.0
