t_s,distance_m,pace_s,spm,hr,segment
2.5,6.3,0.0,40,,1
3.1,12.6,0.0,40,,1
4.2,18.9,217.1,49,,1
5.3,25.3,217.1,49,,1
6.3,31.6,171.1,60,,1
7.2,37.9,155.7,63,,1
8.2,44.4,155.7,63,,1
9.1,50.7,155.7,63,,1
10.1,57.2,149.4,64,,1
11.0,63.3,149.4,64,,1
11.9,69.6,145.7,66,,1
12.8,76.1,145.7,66,,1
13.7,82.3,144.1,66,,1
14.6,88.6,144.1,66,,1
15.5,94.9,145.3,66,,1
16.5,101.3,145.3,66,,1
17.4,107.7,146.1,66,,1
18.3,114.1,146.1,66,,1
19.2,120.4,145.0,66,,1
20.1,126.6,145.0,66,,1
21.0,132.9,144.0,66,,1
21.9,139.3,144.0,66,,1
22.9,145.7,144.4,65,,1
23.8,152.1,144.4,65,,1
24.7,158.3,144.6,65,,1
25.6,164.7,144.6,65,,1
26.5,170.9,145.9,64,,1
27.5,177.4,147.7,64,,1
28.4,183.6,147.7,64,,1
29.3,190.1,147.7,64,,1
30.2,196.3,146.6,65,,1
31.2,202.6,146.6,65,,1
32.1,208.9,146.7,65,,1
33.0,215.3,146.7,65,,1
34.0,221.7,146.0,65,,1
34.9,227.9,146.0,65,,1
35.8,234.3,148.3,63,,1
36.8,240.7,148.3,63,,1
37.7,247.1,150.0,64,,1
38.7,253.3,150.0,64,,1
39.6,259.6,149.8,63,,1
40.6,266.1,149.8,63,,1
41.5,272.4,150.1,64,,1
42.5,278.7,150.1,64,,1
43.4,285.1,148.5,64,,1
44.3,291.3,148.5,64,,1
45.2,297.7,147.4,65,,1
46.1,303.9,147.4,65,,1
47.1,310.4,144.7,66,,1
47.9,316.7,144.7,66,,1
48.8,323.1,141.0,68,,1
49.7,329.4,141.0,68,,1
50.6,335.7,137.9,68,,1
51.4,342.1,137.9,68,,1
52.3,348.3,139.5,68,,1
53.2,354.7,139.5,68,,1
54.1,360.9,140.5,68,,1
55.0,367.3,141.9,66,,1
55.9,373.6,141.9,66,,1
56.8,380.1,141.9,66,,1
57.7,386.3,145.3,65,,1
58.6,392.6,145.3,65,,1
59.5,398.9,144.5,67,,1
60.5,405.3,144.5,67,,1
61.4,411.6,143.7,66,,1
62.3,417.9,143.7,66,,1
63.2,424.4,143.9,66,,1
64.0,430.7,143.9,66,,1
64.9,436.9,139.4,70,,1
65.7,443.4,139.4,70,,1
66.5,449.7,132.1,73,,1
67.3,456.0,132.1,73,,1
68.1,462.2,128.5,73,,1
69.0,468.7,130.9,71,,1
69.8,475.0,130.9,71,,1
70.7,481.2,130.9,71,,1
71.5,487.6,134.9,69,,1
72.4,493.9,134.9,69,,1
73.3,500.2,136.7,69,,1
74.1,506.7,136.7,69,,1
75.0,512.9,136.7,70,,1
75.9,519.4,136.7,70,,1
76.7,525.7,136.1,70,,1
77.5,531.9,136.1,70,,1
78.4,538.2,134.9,71,,1
79.2,544.6,134.7,71,,1
80.1,551.0,134.7,71,,1
81.0,557.2,134.7,71,,1
81.8,563.6,135.0,70,,1
82.7,570.0,135.0,70,,1
83.5,576.2,135.3,72,,1
84.3,582.7,135.3,72,,1
85.1,589.0,131.0,72,,1
86.0,595.4,131.0,72,,1
86.8,601.7,128.7,73,,1
87.6,607.9,128.7,73,,1
88.4,614.4,130.1,72,,1
89.3,620.7,130.1,72,,1
90.1,627.0,132.9,71,,1
91.0,633.2,132.9,71,,1
91.8,639.6,134.1,71,,1
92.7,646.0,134.1,71,,1
93.5,652.4,134.7,71,,1
94.4,658.6,134.7,71,,1
95.2,665.0,135.7,70,,1
96.1,671.2,135.7,70,,1
97.0,677.6,136.4,70,,1
97.8,684.0,136.4,70,,1
98.7,690.2,136.6,70,,1
99.5,696.7,136.6,70,,1
100.4,702.9,136.0,70,,1
101.2,709.2,135.1,71,,1
102.1,715.7,135.1,71,,1
102.9,721.9,135.1,71,,1
103.7,728.4,129.7,74,,1
104.5,734.6,129.7,74,,1
105.3,740.9,127.7,73,,1
106.1,747.4,127.7,73,,1
107.0,753.6,130.2,72,,1
107.8,759.9,130.2,72,,1
108.7,766.4,132.7,71,,1
109.5,772.7,134.4,70,,1
110.4,778.9,134.4,70,,1
111.2,785.2,134.4,70,,1
112.1,791.7,135.3,70,,1
112.9,797.9,135.3,70,,1
113.8,804.4,135.3,71,,1
114.6,810.6,135.3,71,,1
115.4,817.0,132.2,73,,1
116.3,823.4,131.8,72,,1
117.1,829.6,131.8,72,,1
117.9,835.9,131.8,72,,1
118.8,842.4,133.2,71,,1
119.6,848.6,133.2,71,,1
120.5,854.9,135.0,70,,1
121.4,861.4,135.0,70,,1
122.2,867.6,135.8,69,,1
123.1,873.9,135.8,69,,1
124.0,880.4,137.1,69,,1
124.8,886.6,137.1,69,,1
125.6,892.9,135.6,69,,1
126.5,899.4,136.0,69,,1
127.4,905.7,136.0,69,,1
128.2,911.9,136.0,69,,1
129.1,918.4,137.2,69,,1
130.0,924.7,137.2,69,,1
130.8,931.0,134.2,71,,1
131.7,937.3,134.2,71,,1
132.5,943.6,135.8,70,,1
133.4,950.0,135.8,70,,1
134.3,956.3,137.1,69,,1
135.1,962.7,137.1,69,,1
136.0,968.9,138.4,68,,1
136.9,975.3,138.4,68,,1
137.7,981.5,138.6,70,,1
138.5,988.0,129.2,75,,1
139.3,994.2,129.2,75,,1
140.1,1000.7,129.2,75,,1
140.9,1006.9,125.6,75,,1
141.7,1013.2,125.6,75,,1
142.5,1019.5,128.2,73,,1
143.4,1025.9,128.2,73,,1
144.2,1032.2,130.4,72,,1
145.0,1038.7,130.2,73,,1
145.8,1045.0,130.2,73,,1
146.6,1051.2,130.2,73,,1
147.5,1057.7,130.2,72,,1
148.3,1064.0,130.2,72,,1
149.1,1070.2,131.9,72,,1
150.0,1076.7,131.9,72,,1
150.8,1083.0,132.1,72,,1
151.7,1089.3,132.1,72,,1
152.5,1095.7,133.2,71,,1
153.4,1101.9,133.2,71,,1
154.2,1108.2,134.6,71,,1
155.1,1114.8,134.6,71,,1
155.9,1120.9,134.2,71,,1
156.7,1127.2,134.2,71,,1
157.6,1133.5,133.8,71,,1
158.4,1139.9,133.8,71,,1
159.3,1146.2,133.2,71,,1
160.1,1152.5,133.2,71,,1
161.0,1159.0,133.3,71,,1
161.8,1165.3,133.3,71,,1
162.6,1171.7,133.3,71,,1
163.5,1178.0,133.3,71,,1
164.3,1184.3,133.0,71,,1
165.1,1190.5,133.0,71,,1
165.9,1196.9,127.7,76,,1
166.7,1203.3,127.7,76,,1
167.4,1209.5,124.6,76,,1
168.3,1216.0,127.4,74,,1
169.1,1222.2,127.4,74,,1
169.9,1228.7,127.4,74,,1
170.8,1235.0,130.9,72,,1
171.6,1241.2,130.9,72,,1
172.4,1247.7,132.2,72,,1
173.2,1253.9,132.2,72,,1
174.1,1260.2,131.7,72,,1
174.9,1266.5,131.7,72,,1
175.8,1272.9,132.9,71,,1
176.6,1279.2,132.9,71,,1
177.5,1285.5,133.7,71,,1
178.3,1291.9,133.7,71,,1
179.2,1298.3,134.1,71,,1
180.0,1304.5,134.1,71,,1
180.8,1310.9,133.8,71,,1
181.7,1317.3,133.8,71,,1
182.5,1323.5,131.7,72,,1
