t_s,timestamp,distance_m,speed_m_s,pace_s_per_km,hr,elev_m,cadence_spm,power_w,gap_speed_m_s,temp_c
0.0,2026-09-25T14:39:54+00:00,0.0,,,60.0,-54.400001525878906,,,,31.0
1.0,2026-09-25T14:39:55+00:00,0.0,,,60.0,-54.400001525878906,,,,31.0
2.0,2026-09-25T14:39:56+00:00,0.0,,,59.0,-54.400001525878906,,,,31.0
5.0,2026-09-25T14:39:59+00:00,0.0,,,62.0,-54.400001525878906,,,,31.0
6.0,2026-09-25T14:40:00+00:00,0.0,,,64.0,-54.400001525878906,,,,31.0
7.0,2026-09-25T14:40:01+00:00,0.0,,,68.0,-54.20000076293945,,,,31.0
8.0,2026-09-25T14:40:02+00:00,0.0,,,70.0,-54.20000076293945,,,,31.0
9.0,2026-09-25T14:40:03+00:00,0.0,,,73.0,-54.20000076293945,,,,31.0
10.0,2026-09-25T14:40:04+00:00,0.0,,,77.0,-54.20000076293945,,,,31.0
11.0,2026-09-25T14:40:05+00:00,0.0,,,79.0,-54.0,,,,31.0
12.0,2026-09-25T14:40:06+00:00,0.0,,,83.0,-54.0,,,,31.0
13.0,2026-09-25T14:40:07+00:00,0.0,,,85.0,-54.0,,,,31.0
14.0,2026-09-25T14:40:08+00:00,0.0,,,87.0,-54.0,,,,31.0
15.0,2026-09-25T14:40:09+00:00,0.0,,,89.0,-54.0,,,,31.0
16.0,2026-09-25T14:40:10+00:00,0.0,,,90.0,-54.0,,,,31.0
17.0,2026-09-25T14:40:11+00:00,0.0,,,91.0,-54.0,,,,31.0
19.0,2026-09-25T14:40:13+00:00,0.0,,,90.0,-54.0,,,,31.0
20.0,2026-09-25T14:40:14+00:00,0.0,,,87.0,-53.79999923706055,,,,31.0
21.0,2026-09-25T14:40:15+00:00,0.0,,,85.0,-53.79999923706055,,,,31.0
22.0,2026-09-25T14:40:16+00:00,0.0,,,82.0,-53.79999923706055,,,,31.0
23.0,2026-09-25T14:40:17+00:00,0.0,,,81.0,-53.599998474121094,,,,31.0
24.0,2026-09-25T14:40:18+00:00,0.0,,,80.0,-53.599998474121094,,,,31.0
26.0,2026-09-25T14:40:20+00:00,0.0,,,81.0,-53.599998474121094,,,,31.0
27.0,2026-09-25T14:40:21+00:00,0.0,,,82.0,-53.599998474121094,,,,31.0
28.0,2026-09-25T14:40:22+00:00,0.0,,,83.0,-53.599998474121094,,,,31.0
29.0,2026-09-25T14:40:23+00:00,0.0,,,86.0,-53.599998474121094,,,,31.0
30.0,2026-09-25T14:40:24+00:00,0.0,,,87.0,-53.599998474121094,,,,31.0
31.0,2026-09-25T14:40:25+00:00,0.0,,,90.0,-53.599998474121094,,,,31.0
32.0,2026-09-25T14:40:26+00:00,0.0,,,91.0,-53.599998474121094,,,,31.0
33.0,2026-09-25T14:40:27+00:00,0.0,,,92.0,-53.400001525878906,,,,31.0
34.0,2026-09-25T14:40:28+00:00,0.0,,,93.0,-53.400001525878906,,,,31.0
37.0,2026-09-25T14:40:31+00:00,0.0,,,92.0,-53.20000076293945,,,,31.0
40.0,2026-09-25T14:40:34+00:00,0.0,,,91.0,-53.20000076293945,,,,31.0
42.0,2026-09-25T14:40:36+00:00,0.0,,,92.0,-53.20000076293945,,,,31.0
44.0,2026-09-25T14:40:38+00:00,0.0,,,93.0,-53.20000076293945,,,,31.0
45.0,2026-09-25T14:40:39+00:00,0.0,,,94.0,-53.20000076293945,,,,31.0
46.0,2026-09-25T14:40:40+00:00,0.0,,,95.0,-53.20000076293945,,,,31.0
47.0,2026-09-25T14:40:41+00:00,0.0,,,96.0,-53.20000076293945,,,,31.0
53.0,2026-09-25T14:40:47+00:00,0.0,,,97.0,-53.0,,,,31.0
56.0,2026-09-25T14:40:50+00:00,0.0,,,98.0,-52.79999923706055,,,,31.0
57.0,2026-09-25T14:40:51+00:00,0.0,,,99.0,-52.599998474121094,,,,31.0
58.0,2026-09-25T14:40:52+00:00,0.0,,,100.0,-52.599998474121094,,,,31.0
59.0,2026-09-25T14:40:53+00:00,0.0,,,101.0,-52.599998474121094,,,,31.0
61.0,2026-09-25T14:40:55+00:00,0.0,,,102.0,-52.79999923706055,,,,31.0
65.0,2026-09-25T14:40:59+00:00,0.0,,,101.0,-52.599998474121094,,,,31.0
71.0,2026-09-25T14:41:05+00:00,0.0,,,102.0,-52.599998474121094,,,,31.0
77.0,2026-09-25T14:41:11+00:00,0.0,,,102.0,-52.79999923706055,,,,31.0
80.0,2026-09-25T14:41:14+00:00,0.0,,,103.0,-52.79999923706055,,,,31.0
81.0,2026-09-25T14:41:15+00:00,0.0,,,102.0,-52.79999923706055,,,,31.0
82.0,2026-09-25T14:41:16+00:00,0.0,,,103.0,-52.79999923706055,,,,31.0
88.0,2026-09-25T14:41:22+00:00,0.0,,,104.0,-52.599998474121094,,,,31.0
92.0,2026-09-25T14:41:26+00:00,0.0,,,105.0,-52.79999923706055,,,,31.0
94.0,2026-09-25T14:41:28+00:00,0.0,,,106.0,-52.79999923706055,,,,31.0
96.0,2026-09-25T14:41:30+00:00,0.0,,,107.0,-52.79999923706055,,,,31.0
100.0,2026-09-25T14:41:34+00:00,0.0,,,106.0,-52.79999923706055,,,,31.0
102.0,2026-09-25T14:41:36+00:00,0.0,,,105.0,-52.79999923706055,,,,31.0
107.0,2026-09-25T14:41:41+00:00,0.0,,,106.0,-52.79999923706055,,,,31.0
108.0,2026-09-25T14:41:42+00:00,0.0,,,107.0,-52.79999923706055,,,,31.0
109.0,2026-09-25T14:41:43+00:00,0.0,,,108.0,-52.79999923706055,,,,31.0
110.0,2026-09-25T14:41:44+00:00,0.0,,,109.0,-52.79999923706055,,,,31.0
111.0,2026-09-25T14:41:45+00:00,0.0,,,110.0,-52.79999923706055,,,,31.0
112.0,2026-09-25T14:41:46+00:00,0.0,,,111.0,-52.79999923706055,,,,31.0
113.0,2026-09-25T14:41:47+00:00,0.0,,,112.0,-52.79999923706055,,,,31.0
115.0,2026-09-25T14:41:49+00:00,0.0,,,113.0,-52.599998474121094,,,,31.0
118.0,2026-09-25T14:41:52+00:00,0.0,,,112.0,-52.79999923706055,,,,31.0
119.0,2026-09-25T14:41:53+00:00,0.0,,,111.0,-52.79999923706055,,,,31.0
121.0,2026-09-25T14:41:55+00:00,0.0,,,110.0,-52.79999923706055,,,,31.0
123.0,2026-09-25T14:41:57+00:00,0.0,,,111.0,-52.599998474121094,,,,31.0
125.0,2026-09-25T14:41:59+00:00,0.0,,,112.0,-52.599998474121094,,,,31.0
130.0,2026-09-25T14:42:04+00:00,0.0,,,113.0,-52.79999923706055,,,,31.0
136.0,2026-09-25T14:42:10+00:00,4.929999828338623,0.035999998450279236,,112.0,-52.79999923706055,14.0,,,31.0
142.0,2026-09-25T14:42:16+00:00,4.929999828338623,,,113.0,-52.79999923706055,,,,31.0
148.0,2026-09-25T14:42:22+00:00,4.929999828338623,,,113.0,-53.0,,,,31.0
154.0,2026-09-25T14:42:28+00:00,4.929999828338623,,,115.0,-52.79999923706055,,,,31.0
160.0,2026-09-25T14:42:34+00:00,4.929999828338623,,,117.0,-52.599998474121094,,,,31.0
166.0,2026-09-25T14:42:40+00:00,4.929999828338623,,,117.0,-52.599998474121094,,,,31.0
172.0,2026-09-25T14:42:46+00:00,4.929999828338623,,,120.0,-53.0,,,,31.0
177.0,2026-09-25T14:42:51+00:00,4.929999828338623,,,123.0,-53.0,,,,31.0
183.0,2026-09-25T14:42:57+00:00,4.929999828338623,,,123.0,-53.0,,,,31.0
187.0,2026-09-25T14:43:01+00:00,4.929999828338623,,,126.0,-53.0,,,,31.0
189.0,2026-09-25T14:43:03+00:00,4.929999828338623,,,123.0,-53.0,,,,31.0
195.0,2026-09-25T14:43:09+00:00,4.929999828338623,,,125.0,-52.79999923706055,,,,31.0
201.0,2026-09-25T14:43:15+00:00,4.929999828338623,,,126.0,-53.0,,,,31.0
207.0,2026-09-25T14:43:21+00:00,4.929999828338623,,,126.0,-53.0,,,,31.0
213.0,2026-09-25T14:43:27+00:00,4.929999828338623,,,128.0,-53.0,,,,31.0
219.0,2026-09-25T14:43:33+00:00,4.929999828338623,,,128.0,-53.0,,,,31.0
225.0,2026-09-25T14:43:39+00:00,4.929999828338623,,,128.0,-53.0,,,,31.0
231.0,2026-09-25T14:43:45+00:00,4.929999828338623,,,128.0,-53.20000076293945,,,,31.0
237.0,2026-09-25T14:43:51+00:00,4.929999828338623,,,126.0,-53.0,,,,31.0
243.0,2026-09-25T14:43:57+00:00,4.929999828338623,,,127.0,-53.20000076293945,,,,31.0
249.0,2026-09-25T14:44:03+00:00,4.929999828338623,,,125.0,-53.20000076293945,,,,31.0
255.0,2026-09-25T14:44:09+00:00,4.929999828338623,,,124.0,-53.20000076293945,,,,31.0
261.0,2026-09-25T14:44:15+00:00,4.929999828338623,,,125.0,-53.0,,,,31.0
267.0,2026-09-25T14:44:21+00:00,11.65999984741211,0.050999999046325684,,126.0,-53.400001525878906,0.0,,,31.0
273.0,2026-09-25T14:44:27+00:00,13.460000038146973,0.30000001192092896,3333.3332008785724,129.0,-53.400001525878906,12.0,,,31.0
279.0,2026-09-25T14:44:33+00:00,13.460000038146973,,,127.0,-53.400001525878906,,,,31.0
285.0,2026-09-25T14:44:39+00:00,13.460000038146973,,,126.0,-53.400001525878906,,,,30.0
291.0,2026-09-25T14:44:45+00:00,13.460000038146973,,,126.0,-53.400001525878906,,,,30.0
297.0,2026-09-25T14:44:51+00:00,13.460000038146973,,,126.0,-53.400001525878906,,,,30.0
303.0,2026-09-25T14:44:57+00:00,13.460000038146973,,,129.0,-53.400001525878906,,,,30.0
309.0,2026-09-25T14:45:03+00:00,13.460000038146973,,,129.0,-53.20000076293945,,,,30.0
315.0,2026-09-25T14:45:09+00:00,19.290000915527344,0.13899999856948853,,131.0,-53.20000076293945,22.0,,,30.0
321.0,2026-09-25T14:45:15+00:00,19.290000915527344,,,130.0,-53.20000076293945,22.0,,,30.0
327.0,2026-09-25T14:45:21+00:00,23.84000015258789,0.3790000081062317,2638.5223710066657,131.0,-53.400001525878906,30.0,,,30.0
333.0,2026-09-25T14:45:27+00:00,23.84000015258789,,,131.0,-53.400001525878906,,,,30.0
339.0,2026-09-25T14:45:33+00:00,27.43000030517578,0.29899999499320984,,131.0,-53.400001525878906,13.0,,,30.0
345.0,2026-09-25T14:45:39+00:00,27.43000030517578,,,132.0,-53.400001525878906,0.0,,,30.0
351.0,2026-09-25T14:45:45+00:00,29.690000534057617,0.18799999356269836,,132.0,-53.400001525878906,26.0,,,30.0
357.0,2026-09-25T14:45:51+00:00,29.690000534057617,,,133.0,-53.599998474121094,26.0,,,30.0
363.0,2026-09-25T14:45:57+00:00,29.690000534057617,,,133.0,-53.599998474121094,,,,30.0
369.0,2026-09-25T14:46:03+00:00,29.690000534057617,,,134.0,-53.79999923706055,,,,30.0
375.0,2026-09-25T14:46:09+00:00,29.690000534057617,,,134.0,-53.599998474121094,,,,30.0
381.0,2026-09-25T14:46:15+00:00,29.690000534057617,,,134.0,-53.599998474121094,,,,30.0
385.0,2026-09-25T14:46:19+00:00,29.690000534057617,,,131.0,-53.599998474121094,,,,30.0
391.0,2026-09-25T14:46:25+00:00,29.690000534057617,,,129.0,-53.599998474121094,,,,30.0
397.0,2026-09-25T14:46:31+00:00,29.690000534057617,,,128.0,-53.400001525878906,,,,30.0
403.0,2026-09-25T14:46:37+00:00,29.690000534057617,,,129.0,-53.599998474121094,,,,30.0
409.0,2026-09-25T14:46:43+00:00,29.690000534057617,,,130.0,-53.599998474121094,,,,30.0
415.0,2026-09-25T14:46:49+00:00,29.690000534057617,,,129.0,-53.400001525878906,,,,30.0
421.0,2026-09-25T14:46:55+00:00,29.690000534057617,,,129.0,-53.400001525878906,,,,30.0
427.0,2026-09-25T14:47:01+00:00,29.690000534057617,,,131.0,-53.599998474121094,,,,30.0
433.0,2026-09-25T14:47:07+00:00,29.690000534057617,,,131.0,-53.400001525878906,,,,30.0
439.0,2026-09-25T14:47:13+00:00,29.690000534057617,,,131.0,-53.599998474121094,,,,30.0
445.0,2026-09-25T14:47:19+00:00,29.690000534057617,,,132.0,-53.599998474121094,,,,30.0
451.0,2026-09-25T14:47:25+00:00,36.25,0.06599999964237213,,132.0,-53.400001525878906,0.0,,,30.0
457.0,2026-09-25T14:47:31+00:00,38.61000061035156,0.3930000066757202,2544.5292188637018,131.0,-53.599998474121094,14.0,,,30.0
463.0,2026-09-25T14:47:37+00:00,38.61000061035156,,,131.0,-53.79999923706055,,,,30.0
469.0,2026-09-25T14:47:43+00:00,38.61000061035156,,,132.0,-53.599998474121094,,,,30.0
474.0,2026-09-25T14:47:48+00:00,39.560001373291016,0.0560000017285347,,133.0,-53.599998474121094,0.0,,,30.0
480.0,2026-09-25T14:47:54+00:00,41.68000030517578,0.3529999852180481,2832.8613084283843,134.0,-53.599998474121094,0.0,,,30.0
486.0,2026-09-25T14:48:00+00:00,44.56999969482422,0.4819999933242798,2074.6888254150253,134.0,-53.79999923706055,13.0,,,30.0
